date,final_price,normal_price,high_price,low_price,trade_cnt
2021.07.21,78500,79000,79100,78500,12206571
2021.07.20,79000,78500,79000,78400,12456646
2021.07.19,79000,79100,79200,78800,13155414
2021.07.16,79800,80100,80100,79500,10859399
2021.07.15,80600,79800,80600,79500,13766279
2021.07.14,79500,79400,79600,79100,11575636
2021.07.13,79800,80000,80200,79800,9863450
2021.07.12,79700,79900,80000,79500,9768108
2021.07.09,79400,79600,79800,79000,22720577
2021.07.08,79900,81100,81200,79900,16660998
2021.07.07,80800,81200,81300,80300,15992202
2021.07.06,81200,80600,81200,80500,12131651
2021.07.05,80400,80100,80800,80000,8330969
2021.07.02,80000,80000,80400,79900,8753097
2021.07.01,80100,80500,80600,80000,13382882
2021.06.30,80700,81100,81400,80700,13288643
2021.06.29,81000,81900,82100,80800,15744317
2021.06.28,81900,81700,82000,81600,11578529
2021.06.25,81600,81500,81900,81200,13481405
2021.06.24,81200,80400,81400,80100,18771080
2021.06.23,80100,80500,80600,79900,13856548
2021.06.22,80000,80200,80300,79900,11773365
2021.06.21,79900,79700,80000,79600,16063340
2021.06.18,80500,81100,81100,80500,14916721
2021.06.17,80900,81100,81300,80700,14007385
2021.06.16,81800,81500,81900,81100,14999855
2021.06.15,80900,80900,81200,80600,10075685
2021.06.14,80500,80800,80900,80500,10550078
2021.06.11,81000,81200,81700,80700,14087962
2021.06.10,81000,81300,81400,80900,17586995
2021.06.09,81100,81500,82000,81100,14908823
2021.06.08,81900,82300,82600,81800,12781226
2021.06.07,81900,82700,82800,81600,16496197
2021.06.04,82200,82700,82700,81500,18112259
2021.06.03,82800,81300,83000,81100,29546007
2021.06.02,80800,80400,81400,80300,16414644
2021.06.01,80600,80500,81300,80100,14058401
2021.05.31,80500,80300,80600,79600,13321324
2021.05.28,80100,79800,80400,79400,12360199
2021.05.27,79600,80000,80000,79100,23198510
2021.05.26,79800,80400,80500,79700,11984359
2021.05.25,79900,80000,80400,79800,13628942
2021.05.24,79700,80100,80400,79500,13398666
2021.05.21,80100,80100,81500,79800,20961714
2021.05.20,79500,79400,79700,79100,16541828
2021.05.18,79600,79600,80000,79100,17494407
2021.05.17,79600,80800,80900,79200,17740855
2021.05.14,80100,79000,80300,78900,16450920
2021.05.13,78500,78900,79600,78400,31490096
2021.05.12,80000,80800,81200,79800,35812268
2021.05.11,81200,82500,82600,81100,28996680
2021.05.10,83200,82300,83500,81800,19385027
2021.05.07,81900,81800,82100,81500,14154882
2021.05.06,82300,81700,82300,81700,17047511
2021.05.04,82600,81900,82600,81800,12532550
2021.05.03,81700,81000,82400,81000,15710336
2021.04.30,81500,81900,82100,81500,18673197
2021.04.29,81700,82400,82500,81500,20000973
2021.04.28,82100,83200,83200,82100,15596759
2021.04.27,82900,83200,83300,82500,12941533
2021.04.26,83500,82900,83500,82600,15489938
2021.04.23,82800,81900,82900,81600,17805080
2021.04.22,82400,82900,83000,82400,13934746
2021.04.21,82600,83300,83500,82500,21636079
2021.04.20,83900,83300,84000,83100,15521965
2021.04.19,83300,83800,84000,83300,15287311
2021.04.16,83900,84700,84700,83600,15429522
2021.04.15,84100,83700,84500,83400,16377412
2021.04.14,84000,84000,84300,83400,13794652
2021.04.13,84000,83000,84500,82800,15238206
2021.04.12,83200,84100,84100,83100,12915282
2021.04.09,83600,84700,84900,83400,18193707
2021.04.08,84700,85700,85700,84100,19244259
2021.04.07,85600,86100,86200,85400,17885538
2021.04.06,86000,86200,86200,85100,19042023
2021.04.05,85400,85800,86000,84800,16255990
2021.04.02,84800,84000,85200,83900,22997538
2021.04.01,82900,82500,83000,82000,18676461
2021.03.31,81400,82400,82700,81400,17240518
2021.03.30,82200,81600,82300,81300,13121698
2021.03.29,81600,81700,81700,81000,14952134
2021.03.26,81500,81400,81600,81000,12845778
2021.03.25,81200,81000,82100,80800,14758826
2021.03.24,81000,81000,81600,80700,17926638
2021.03.23,81800,82600,82900,81800,13299907
2021.03.22,82000,82000,82300,81700,12670506
2021.03.19,81900,82100,82500,81800,15869700
2021.03.18,82900,82800,83800,82600,18585244
2021.03.17,82300,82800,82900,82000,11625146
2021.03.16,82800,82200,83000,82100,12293537
